😀	ನಗುವ ಮುಖ
🧖🏿‍♂	ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿ ಮನುಷ್ಯ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧗	ಹತ್ತುವ ವ್ಯಕ್ತಿ
🧗🏻	ಹತ್ತುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧗🏼	ಹತ್ತುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧗🏽	ಹತ್ತುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧗🏾	ಹತ್ತುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧗🏿	ಹತ್ತುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧗‍♀️	ಮಹಿಳೆ ಹತ್ತುವ
🧗‍♀	ಮಹಿಳೆ ಹತ್ತುವ
🧗🏻‍♀️	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧗🏻‍♀	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧗🏼‍♀️	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧗🏼‍♀	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧗🏽‍♀️	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧗🏽‍♀	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧗🏾‍♀️	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧗🏾‍♀	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧗🏿‍♀️	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧗🏿‍♀	ಮಹಿಳೆ ಕ್ಲೈಂಬಿಂಗ್: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧗‍♂️	ಮನುಷ್ಯ ಹತ್ತುವ
🧗‍♂	ಮನುಷ್ಯ ಹತ್ತುವ
🧗🏻‍♂️	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧗🏻‍♂	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧗🏼‍♂️	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧗🏼‍♂	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧗🏽‍♂️	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧗🏽‍♂	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧗🏾‍♂️	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧗🏾‍♂	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧗🏿‍♂️	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧗🏿‍♂	ಮನುಷ್ಯ ಕ್ಲೈಂಬಿಂಗ್: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🧘	ಕಮಲದ ಸ್ಥಾನದಲ್ಲಿರುವ ವ್ಯಕ್ತಿ
🧘🏻	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏼	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏽	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧘🏾	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧘🏿	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧘‍♀️	ಕಮಲದ ಸ್ಥಾನದಲ್ಲಿರುವ ಮಹಿಳೆ
🧘‍♀	ಕಮಲದ ಸ್ಥಾನದಲ್ಲಿರುವ ಮಹಿಳೆ
🧘🏻‍♀️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏻‍♀	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏼‍♀️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏼‍♀	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏽‍♀️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧘🏽‍♀	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧘🏾‍♀️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧘🏾‍♀	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧘🏿‍♀️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧘🏿‍♀	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧘‍♂️	ಕಮಲದ ಸ್ಥಾನದಲ್ಲಿ ಮನುಷ್ಯ
🧘‍♂	ಕಮಲದ ಸ್ಥಾನದಲ್ಲಿ ಮನುಷ್ಯ
🧘🏻‍♂️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏻‍♂	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏼‍♂️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏼‍♂	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧘🏽‍♂️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧘🏽‍♂	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧘🏾‍♂️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧘🏾‍♂	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧘🏿‍♂️	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧘🏿‍♂	ಕಮಲದ ಭಂಗಿಯಲ್ಲಿರುವ ಮನುಷ್ಯ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🛀	ಸ್ನಾನ ಮಾಡುವ ವ್ಯಕ್ತಿ
🛀🏻	ಸ್ನಾನ ಮಾಡುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🛀🏼	ಸ್ನಾನ ಮಾಡುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🛀🏽	ಸ್ನಾನ ಮಾಡುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🛀🏾	ಸ್ನಾನ ಮಾಡುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🛀🏿	ಸ್ನಾನ ಮಾಡುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🛌	ಹಾಸಿಗೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ
🛌🏻	ಹಾಸಿಗೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🛌🏼	ಹಾಸಿಗೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🛌🏽	ಹಾಸಿಗೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🛌🏾	ಹಾಸಿಗೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🛌🏿	ಹಾಸಿಗೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🕴️	ಲೆವಿಟಿಂಗ್ ಸೂಟ್ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ
🕴	ಲೆವಿಟಿಂಗ್ ಸೂಟ್ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ
🕴🏻	ಲೆವಿಟಿಂಗ್ ಸೂಟ್ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🕴🏼	ಲೆವಿಟಿಂಗ್ ಸೂಟ್ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🕴🏽	ಲೆವಿಟಿಂಗ್ ಸೂಟ್ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🕴🏾	ಲೆವಿಟಿಂಗ್ ಸೂಟ್ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🕴🏿	ಲೆವಿಟಿಂಗ್ ಸೂಟ್ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🗣️	ಮಾತನಾಡುವ ತಲೆ
🗣	ಮಾತನಾಡುವ ತಲೆ
👤	ಸಿಲೂಯೆಟ್ನಲ್ಲಿ ಬಸ್ಟ್
👥	ಸಿಲೂಯೆಟ್ನಲ್ಲಿ ಬಸ್ಟ್ಗಳು
🤺	ವ್ಯಕ್ತಿ ಬೇಲಿ
🏇	ಕುದುರೆ ರೇಸಿಂಗ್
🏇🏻	ಕುದುರೆ ರೇಸಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏇🏼	ಕುದುರೆ ರೇಸಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏇🏽	ಕುದುರೆ ರೇಸಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🏇🏾	ಕುದುರೆ ರೇಸಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏇🏿	ಕುದುರೆ ರೇಸಿಂಗ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
⛷️	ಸ್ಕೀಯರ್
⛷	ಸ್ಕೀಯರ್
🏂	ಸ್ನೋಬೋರ್ಡರ್
🏂🏻	ಸ್ನೋಬೋರ್ಡರ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏂🏼	ಸ್ನೋಬೋರ್ಡರ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🏂🏽	ಸ್ನೋಬೋರ್ಡರ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🏂🏾	ಸ್ನೋಬೋರ್ಡರ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🏂🏿	ಸ್ನೋಬೋರ್ಡರ್: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
🏌️	ವ್ಯಕ್ತಿ ಗಾಲ್ಫ್
🏌	ವ್ಯಕ್ತಿ ಗಾಲ್ಫ್
🏌🏻	ವ್ಯಕ್ತಿ ಗಾಲ್ಫ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏼	ವ್ಯಕ್ತಿ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🏌🏽	ವ್ಯಕ್ತಿ ಗಾಲ್ಫ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏌🏾	ವ್ಯಕ್ತಿ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🏌🏿	ವ್ಯಕ್ತಿ ಗಾಲ್ಫ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🏌️‍♂️	ಮನುಷ್ಯ ಗಾಲ್ಫ್
🏌‍♂️	ಮನುಷ್ಯ ಗಾಲ್ಫ್
🏌️‍♂	ಮನುಷ್ಯ ಗಾಲ್ಫ್
🏌‍♂	ಮನುಷ್ಯ ಗಾಲ್ಫ್
🏌🏻‍♂️	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏻‍♂	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏼‍♂️	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🏌🏼‍♂	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🏌🏽‍♂️	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🏌🏽‍♂	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🏌🏾‍♂️	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🏌🏾‍♂	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🏌🏿‍♂️	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🏌🏿‍♂	ಮ್ಯಾನ್ ಗಾಲ್ಫಿಂಗ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🏌️‍♀️	ಮಹಿಳೆ ಗಾಲ್ಫ್
🏌‍♀️	ಮಹಿಳೆ ಗಾಲ್ಫ್
🏌️‍♀	ಮಹಿಳೆ ಗಾಲ್ಫ್
🏌‍♀	ಮಹಿಳೆ ಗಾಲ್ಫ್
🏌🏻‍♀️	ಮಹಿಳೆ ಗಾಲ್ಫ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏻‍♀	ಮಹಿಳೆ ಗಾಲ್ಫ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏼‍♀️	ಮಹಿಳೆ ಗಾಲ್ಫ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏼‍♀	ಮಹಿಳೆ ಗಾಲ್ಫ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏽‍♀️	ಮಹಿಳೆ ಗಾಲ್ಫ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏌🏽‍♀	ಮಹಿಳೆ ಗಾಲ್ಫ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏌🏾‍♀️	ಮಹಿಳೆ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏌🏾‍♀	ಮಹಿಳೆ ಗಾಲ್ಫಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏌🏿‍♀️	ಮಹಿಳೆ ಗಾಲ್ಫ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🏌🏿‍♀	ಮಹಿಳೆ ಗಾಲ್ಫ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🏄	ವ್ಯಕ್ತಿ ಸರ್ಫಿಂಗ್
🏄🏻	ಸರ್ಫಿಂಗ್ ಮಾಡುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏼	ಸರ್ಫಿಂಗ್ ಮಾಡುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏽	ಸರ್ಫಿಂಗ್ ಮಾಡುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏄🏾	ಸರ್ಫಿಂಗ್ ಮಾಡುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏄🏿	ಸರ್ಫಿಂಗ್ ಮಾಡುವ ವ್ಯಕ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🏄‍♂️	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್
🏄‍♂	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್
🏄🏻‍♂️	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏻‍♂	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏼‍♂️	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏼‍♂	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏽‍♂️	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏄🏽‍♂	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏄🏾‍♂️	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏄🏾‍♂	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏄🏿‍♂️	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🏄🏿‍♂	ಮನುಷ್ಯ ಸರ್ಫಿಂಗ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🏄‍♀️	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್
🏄‍♀	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್
🏄🏻‍♀️	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏻‍♀	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏼‍♀️	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏼‍♀	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏽‍♀️	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🏄🏽‍♀	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🏄🏾‍♀️	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏄🏾‍♀	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏄🏿‍♀️	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🏄🏿‍♀	ಮಹಿಳೆ ಸರ್ಫಿಂಗ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🚣	ವ್ಯಕ್ತಿ ರೋಯಿಂಗ್ ದೋಣಿ
🚣🏻	ವ್ಯಕ್ತಿ ರೋಯಿಂಗ್ ದೋಣಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🚣🏼	ವ್ಯಕ್ತಿ ರೋಯಿಂಗ್ ಬೋಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🚣🏽	ವ್ಯಕ್ತಿ ರೋಯಿಂಗ್ ಬೋಟ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🚣🏾	ವ್ಯಕ್ತಿ ರೋಯಿಂಗ್ ಬೋಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🚣🏿	ವ್ಯಕ್ತಿ ರೋಯಿಂಗ್ ಬೋಟ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🚣‍♂️	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ದೋಣಿ
🚣‍♂	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ದೋಣಿ
🚣🏻‍♂️	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ದೋಣಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🚣🏻‍♂	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ದೋಣಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🚣🏼‍♂️	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ಬೋಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🚣🏼‍♂	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ಬೋಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🚣🏽‍♂️	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ಬೋಟ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🚣🏽‍♂	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ಬೋಟ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🚣🏾‍♂️	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ಬೋಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🚣🏾‍♂	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ಬೋಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🚣🏿‍♂️	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ಬೋಟ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🚣🏿‍♂	ಮನುಷ್ಯ ರೋಯಿಂಗ್ ಬೋಟ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🚣‍♀️	ಮಹಿಳೆ ರೋಯಿಂಗ್ ದೋಣಿ
